CustomerID,CustomerName,CustomerEmail,CustomerPhone,CustomerAddress,CustomerCreditLimit
2301,Flor Stone,flor.stone@raytheon.com,13171234104,2904 S Salina St,5000
2302,Lavera Emerson,lavera.emerson@plainsallamerican.com,13171234111,"5344 Haverford Ave, Philadelphia",5000
2303,Fern Head,fern.head@usfoods.com,18121234115,"1795 Wu Meng, Muang Chonburi",1200
2304,Shyla Ortiz,shyla.ortiz@abbvie.com,13171234126,"Walpurgisstr 69, Munich",2400
2305,Jeni Levy,jeni.levy@centene.com,18121214129,"Via Frenzy 6903, Roma",1200
2306,Matthias Hannah,matthias.hannah@chs.net,12887910191,"Via Luminosa 162, Firenze",500
2307,Matthias Cruise,matthias.cruise@alcoa.com,16278191010,"Via Notoriosa 1942, Firenze",500
2308,Meenakshi Mason,meenakshi.mason@internationalpaper.com,15652788999,"1831 No Wong, Peking",3600
2309,Christian Cage,christian.cage@emerson.com,12334165678,"Via Notoriosa 1949, Firenze",2400
2310,Charlie Sutherland,charlie.sutherland@up.com,17887873099,"Piazza Cacchiatore 23, San Giminiano",3600
2311,Charlie Pacino,charlie.pacino@amgen.com,16728892091,"Piazza Svizzera, Milano, ",500
2312,Guillaume Jackson,guillaume.jackson@usbank.com,17289200982,"Via Delle Grazie 11, San Giminiano, ",700
2313,Daniel Costner,daniel.costner@staples.com,18779099109,"1597 Legend St, Mysore, Kar",3700
2314,Dianne Derek,dianne.derek@danaher.com,18717872090,"1606 Sangam Blvd, New Delhi, ",5000
2315,Geraldine Schneider,geraldine.schneider@whirlpoolcorp.com,15612788891,"2115 N Towne Ln Ne, Cedar Rapids, IA",500
2316,Geraldine Martin,geraldine.martin@aflac.com,12334152428,"8989 N Port Washington Rd, Milwaukee, WI",500
2317,Guillaume Edwards,guillaume.edwards@autonation.com,12343435001,"5112 Sw 9Th St, Des Moines, IA",500
2318,Maurice Mahoney,maurice.mahoney@progressive.com,10988765561,"8600 W National Ave, Milwaukee, WI",600
2319,Maurice Hasan,maurice.hasan@abbott.com,17876544441,"4715 Sprecher Rd, Madison, WI",700
2320,Diane Higgins,diane.higgins@dollargeneral.com,19089189918,"411 E Wisconsin Ave # 2550, Milwaukee, WI",700
2321,Dianne Sen,dianne.sen@tenethealth.com,19098876718,"600 N Broadway Fl 1, Milwaukee, WI",700
2322,Maurice Daltrey,maurice.daltrey@lilly.com,15600980121,"666 22Nd Ave Ne, Minneapolis, MN",900
2323,Tess Roth,tess.roth@dteenergy.com,12889745002,"122 E Dayton St, Madison, WI",1200
2324,Ka Kaufman,ka.kaufman@southwest.com,18013324511,"2134 W Genesee St, Syracuse, NY",1200
2325,Sharyl Montoya,sharyl.montoya@penskeautomotive.com,18002566718,"200 1St St Sw, Rochester, MN",1200
2326,Daniel Glass,daniel.glass@manpowergroup.com,15677872231,"1 Palisade Ave Fl 2, Yonkers, NY",1200
2327,Rena Arnold,rena.arnold@assurant.com,17888892415,"137 Lark St, Albany, NY",1200
2328,Arlyne Ingram,arlyne.ingram@kohlscorporation.com,15426625428,"1614 Gitanjali Rd, Calcutta, ",1200
2329,Willie Barrera,willie.barrera@starbucks.com,18990924161,"Po Box 2152, Buffalo, NY",5000
